Comment,Designator,Footprint,LCSC,Quantity
1K,"R17,R19,R23",R_0402_1005Metric,C11702,3
100uF,C14,CP_EIA-7343-31_Kemet-D,C122321,1
10uF,"C5,C7",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585,2
Bus_M.2_Socket_M,J3,M.2 M Key socket,C1509730,1
100n,"C1,C17,C2,C23",C_0402_1005Metric,C1525,4
4.7nF,C18,C_0402_1005Metric,C1538,1
10uF,"C11,C12,C13,C15,C16,C19,C20,C21,C22,C8",C_0805_2012Metric,C15850,10
SM04B-SRSS-TB_LF__SN_,"J22,J24,J25,J26",JST_SM04B-SRSS-TB_LF__SN_,C160404,4
1K,"R2,R3,R5,R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,6
SKQGAFE010,S1,SW_SKQGAFE010,C202424,1
AP3441SHE-7B,U9,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,C2070918,1
AP2553W6,U8,SOT-23-6,C212302,1
2.2uH,L1,L_Bourns_SRP5030CC,C22404330,1
LED RED,"D7,D8",LED_0603_1608Metric,C2290,2
LED,"D1,D2,D5,D6,D9",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,5
RT9742GGJ5,U3,SOT-23-5,C250547,1
100K | 1%,R20,R_0402_1005Metric,C25741,1
10K | 1%,R21,R_0402_1005Metric,C25744,1
15K,R18,R_0402_1005Metric,C25756,1
2.2K 1%,"R1,R12,R13,R14,R22",R_0402_1005Metric,C25879,5
ASEK-32.768KHZ-L-R-T,U10,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2650753,1
1uF,"C3,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
LED,"D3,D4",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C34499,2
DF40C-100DS-0.4V_51_,"J6,J9",HIROSE_DF40C-100DS-0.4V_51_,C3642394,2
Micro_SD_Card_Det2,J2,SDCARD_MOLEX_503398-1892,C428492,1
100nF,"C4,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,2
74LVC1G07_copy,U7,SOT-353_SC-70-5,C5138996,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5187472,1
Conn_01x22_Socket,"J4,J5",Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,C597981,2
FT232RL,"U1,U2",SSOP-28_5.3x10.2mm_P0.65mm,C8690,2
SM06B-SRSS-TB_LF__SN_,"J27,J28,J29,J30",JST_SM06B-SRSS-TB_LF__SN_,C9900025724,4
